"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href"
"When the line climbs above the staff in bass clef, switch to tenor clef for the high register and back again. Flat lets you drop a clef change on any measure or beat, and the engraving redraws around it.💡","Mid-staff tenor clef.","How to add or change a clef.","https://help.flat.io/en/music-notation-software/clef/?ref=blog.flat.io"
"The trombone slide produces the cleanest glissandi of any orchestral instrument, and you'll want them in jazz, ska, and modern classical writing. Select the first note, click the glissando icon on the ornament toolbar, and the line draws to the next note.💡","Glissandi between any two notes.","How to add a glissando.","https://help.flat.io/en/music-notation-software/glissando/?ref=blog.flat.io"
"A slur on a trombone part means the player uses the slide and air to connect notes without retonguing. Select the first note, press S, and Flat draws the slur. The playback respects it.💡","Slurs for legato phrasing.","How to slur notes.","https://help.flat.io/en/music-notation-software/slur/?ref=blog.flat.io"
"Accents, marcatos, staccatos, and tenutos cover the everyday articulation markings trombonists read. Each one is one click on the articulation toolbar.💡","Articulations for brass attack.","Articulations in Flat.","https://help.flat.io/en/music-notation-software/articulation/?ref=blog.flat.io"
"Trombone parts swing wildly between pp and ff and a written hairpin should actually do something. Flat's playback engine shapes the volume along every hairpin you draw.💡","Crescendos and dynamics that play back.","Crescendo and diminuendo.","https://help.flat.io/en/music-notation-software/wedges/?ref=blog.flat.io"
"Big-band and ska trombone parts loop a section with a fill or a tag. Flat supports repeat barlines, first/second endings, and multi-pass repeats so you don't write the same chorus twice.💡","Repeat barlines and endings.","Barlines and repeats.","https://help.flat.io/en/music-notation-software/barlines/?ref=blog.flat.io"
