"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href"
"Pick Alto, Tenor, Soprano, or Baritone Sax and Flat applies the right transposition. Switch the instrument later and Flat re-transposes the existing notes so the line still sounds the same.💡","Automatic Eb and Bb transposition.","How transposition works in Flat.","https://help.flat.io/en/music-notation-software/transpose/?ref=blog.flat.io"
"Sax phrasing depends on slurs that tell the player which notes to take in one breath. Select the first note, press S, and Flat draws the slur. The playback respects it.💡","Slurs for legato phrasing.","How to slur notes.","https://help.flat.io/en/music-notation-software/slur/?ref=blog.flat.io"
"Accent, marcato, staccato, tenuto, and detached legato cover the everyday tonguing markings. For jazz parts, you'll reach for accents and ghost-note noteheads constantly.💡","Articulations for jazz and classical phrasing.","Articulations in Flat.","https://help.flat.io/en/music-notation-software/articulation/?ref=blog.flat.io"
"If you're writing a lead sheet or a sax-and-rhythm-section chart, chord symbols (Cmaj7, F♯m, Bb7) sit above the staff and follow your style preferences. Useful for any jazz, funk, or pop sax part.💡","Chord symbols above the staff.","Chord notation in Flat.","https://help.flat.io/en/music-notation-software/chords/?ref=blog.flat.io"
"Hairpins and dynamic letters are on the dynamics toolbar, and the playback engine shapes the volume along the hairpin. A long crescendo into a forte sounds like one in your preview.💡","Crescendos and dynamics that play back.","Crescendo and diminuendo.","https://help.flat.io/en/music-notation-software/wedges/?ref=blog.flat.io"
"Sax parts in jazz and pop almost always loop a section with a fill or a tag. Flat supports repeat barlines, first/second endings, and multi-pass repeats so you don't write the same chorus twice.💡","Repeat barlines and endings.","Barlines and repeats.","https://help.flat.io/en/music-notation-software/barlines/?ref=blog.flat.io"
