"paragraph__card--icon-link href","text-align-center","field","btn-primary"
"https://judicialperformance.colorado.gov/judicial-evaluations","Learn About the Process","The judicial performance evaluation process combines several methods to ensure a fair and comprehensive assessment. Surveys, courtroom observations, opinion reviews, and interviews provide multiple perspectives on a judge’s integrity, communication, legal knowledge, and overall performance before the commission determines whether the judge meets performance standards. Get more information regarding the Retention and Evaluation process for your State of Colorado Judges.","Review the Retention and Evaluation Process"
"https://judicialperformance.colorado.gov/2024-judicial-performance-evaluations","Find a Judge","Voters have the opportunity to review the performance evaluations of any district and county judges standing for retention in their judicial district. In addition, the ballot will include all appellate judges up for retention, allowing voters to make informed decisions based on the comprehensive evaluations conducted by the commissions. Find Judge Evaluation data from 1990 to the present.","Access Judge Evaluation Data"
"https://judicialperformance.colorado.gov/citizen-feedback","Submit an Evaluation","Members of the public, jurors, and legal professionals are encouraged to participate in the judicial evaluation process by submitting feedback about judges. Whether through surveys for attorneys, jurors, or non-attorneys—or by providing written public comments—your input helps the commissions ensure fair, thorough, and transparent evaluations of Colorado judges. Get more information on submitting a Judicial Performance Evaluation on your State of Colorado judges.","Submit a Judicial Performance Evaluations"
