"tablescraper-selected-row","tablescraper-selected-row href"
"Rule 1.16A Client File Retention","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.16A_-_Client_File_Retention.pdf?ver=US7ot043UqJ8AQBf4xmvNg%3d%3d"
"Rule 1.17 Sale of LLP Practice","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.17_-_Sale_of_LLP_Practice.pdf?ver=MM3UvKNkjOMBy-7Um0vGEw%3d%3d"
"Rule 1.18 Duties to Prospective Client","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.18_-_Duties_to_Prospective_Client.pdf?ver=y2gcJU9c6zyVfjsrbr9a2w%3d%3d"
"Rule 1.9 Duties to Former Clients","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_1.9_-_Duties_to_Former_Clients.pdf?ver=JXsx7JMlXjQzmYPQVGwetA%3d%3d"
"COUNSELOR",""
"Rule 2.1 Advisor","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_2.1_-_Advisor.pdf?ver=TH9j0mrxug4ULqP4McurpQ%3d%3d"
"Rule 2.2 Reserved","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_2.2_-_Reserved.pdf?ver=guKIaBFr3IYsuc7maZoFIQ%3d%3d"
"Rule 2.3 Evaluation for Use by Third Persons","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_2.3_-_Evaluation_for_Use_by_Third_Persons.pdf?ver=JXsx7JMlXjQzmYPQVGwetA%3d%3d"
"Rule 2.4 LLP Serving as Third-Party Neutral","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_2.4_-_LLP_Serving_as_Third-Party_Neutral.pdf?ver=_lB6j7UGZHyFPDM-z9aGBw%3d%3d"
"ADVOCATE",""
"Rule 3.1 Meritorious Claims and Contentions","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_3.1_-_Meritorious_Claims_and_Contentions.pdf?ver=MzmrYUKgjJ_9GZ4ZMRZEpg%3d%3d"
"Rule 3.2 Expediting Litigation","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_3.2_-_Expediting_Litigation.pdf?ver=TH9j0mrxug4ULqP4McurpQ%3d%3d"
"Rule 3.3 Candor Toward the Tribunal","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_3.3_-_Candor_Toward_the_Tribunal.pdf?ver=JXsx7JMlXjQzmYPQVGwetA%3d%3d"
"Rule 3.4 Fairness to Opposing Party and Counsel","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_3.4_-_Fairness_to_Opposing_Party_and_Counsel.pdf?ver=US7ot043UqJ8AQBf4xmvNg%3d%3d"
"Rule 3.5 Impartiality and Decorum of the Tribunal","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_3.5_-_Impartiality_and_Decorum_of_the_Tribunal.pdf?ver=yBG3we3ufcg6CUEkDj2qtw%3d%3d"
"Rule 3.6 Trial Publicity","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_3.6_-_Trial_Publicity.pdf?ver=US7ot043UqJ8AQBf4xmvNg%3d%3d"
"Rule 3.7 LLP as Witness","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_3.7_-_LLP_as_Witness.pdf?ver=i_7h23pU6uRkfmvazPbR8g%3d%3d"
