"tablescraper-selected-row","tablescraper-selected-row href"
"Formal Ethics Opinions","https://www.cobar.org/For-Members/Opinions-Rules-Statutes/Formal-Ethics-Opinions"
"Ethics Opinions Subject Index","https://www.cobar.org/For-Members/Opinions-Rules-Statutes/Formal-Ethics-Opinions/Formal-Ethics-Opinions-Subject-Index"
"Abstracts of Responses to Letter Inquiries","https://www.cobar.org/For-Members/Committees/Ethics-Committee/Abstracts-of-Responses-to-Letter-Inquiries"
"Index to Colorado Rules of Professional Conduct Cited in Abstracts","https://www.cobar.org/For-Members/Committees/Ethics-Committee/Index-to-Colorado-Rules-of-Professional-Conduct-Cited-in-Abstracts"
