"h2","h2 href","d-flex","d-files","cardText 2","cardText 3","cardText 4","cardText 5","cardText 6","cardText 7","cardText 8","cardText 9","cardText 10","cardText 11","cardText 12","cardText 13","cardText 14","cardText 15","judge-link","judge-link href","trellis-loading src","judge-hover-footer","judge-follow-link","cardText 16","cardText 17"
"Weiner Finance LLC v. The Great Fraser Fir Company et al","https://trellis.law/case/8097/2021cv030065/weiner-finance-llc-v-great-fraser-fir-company-et-al","On July 8, 2021 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","17 Files","Jul 08, 2021","Status","Foreign,Sister-State Judgment","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jun 08, 2023","Practice Area","Creditor","Matter Type","Judgment Enforcement","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","County","Pitkin County, CO"
"100 East Main Street LLC v. The Dire Wolf Project LLC et al","https://trellis.law/case/8097/2021cv030040/100-east-main-street-llc-v-dire-wolf-project-llc-et-al","On April 5, 2021 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Anne K. Norrdin presiding.","4 Files","Apr 05, 2021","Status","Dismissal","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jun 08, 2023","Practice Area","Creditor","Matter Type","Consumer Debt","Hon. Anne K. Norrdin","https://trellis.law/judge/anne.k.norrdin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Anne K. Norrdin","County","Pitkin County, CO"
"DC Rienks Custom Construction Inc A Colo v. Katch As Trustee Of The Lisa Gutner Gst, Ronald","https://trellis.law/case/8097/2021cv030093/dc-rienks-custom-construction-inc-a-colo-v-katch-as-trustee-lisa-gutner-gst-ronald","On September 13, 2021 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","10 Files","Sep 13, 2021","Status","Dismissal","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jun 07, 2023","","","","","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","County","Pitkin County, CO"
"Wang, Angi v. Pinons LLC et al","https://trellis.law/case/8097/2021cv030058/wang-angi-v-pinons-llc-et-al","On June 15, 2021 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge John F. Neiley presiding.","40 Files","Jun 15, 2021","Status","Dismissal","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jun 08, 2023","Practice Area","Commercial","Matter Type","Breach of Contract","Hon. John F. Neiley","https://trellis.law/judge/john.f.neiley?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for John F. Neiley","County","Pitkin County, CO"
"Eaten Path LLC Dba Bosq v. Nationwide Mutual Insurance Company et al","https://trellis.law/case/8097/2021cv030030/eaten-path-llc-dba-bosq-v-nationwide-mutual-insurance-company-et-al","On March 15, 2021 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","4 Files","Mar 15, 2021","Status","Dismissal","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jun 08, 2023","Practice Area","Commercial","Matter Type","Breach of Contract","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","County","Pitkin County, CO"
"Storm King Mechanical LLC v. Asp Properties LLC et al","https://trellis.law/case/8097/2021cv030015/storm-king-mechanical-llc-v-asp-properties-llc-et-al","On January 29, 2021 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","21 Files","Jan 29, 2021","Status","Consolidation","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jun 08, 2023","Practice Area","Property","Matter Type","Foreclosure","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","County","Pitkin County, CO"
"Can IV Packard Square LLC v. 306 Associates LLC et al","https://trellis.law/case/8097/2020cv030029/can-iv-packard-square-llc-v-306-associates-llc-et-al","On March 9, 2020 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","133 Files","Mar 09, 2020","Status","Other","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jun 10, 2023","Practice Area","Commercial","Matter Type","Contractual Fraud","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","County","Pitkin County, CO"
"Hendrickson Construction Inc v. Ajax Mechanical Services Inc","https://trellis.law/case/8097/2020cv030038/hendrickson-construction-inc-v-ajax-mechanical-services-inc","On March 31, 2020 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Anne K. Norrdin presiding.","18 Files","Mar 31, 2020","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Jun 11, 2023","Practice Area","Commercial","Matter Type","Breach of Contract","Hon. Anne K. Norrdin","https://trellis.law/judge/anne.k.norrdin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Anne K. Norrdin","",""
"Gallerie Y LLC v. Martin, Jonathan Simon","https://trellis.law/case/8097/2020cv030016/gallerie-y-llc-v-martin-jonathan-simon","On February 3, 2020 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","2 Files","Feb 03, 2020","Status","Foreign,Sister-State Judgment","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jun 11, 2023","Practice Area","Creditor","Matter Type","Judgment Enforcement","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","County","Pitkin County, CO"
"301 East Hyman Avenue LLC v. The Prospector Fractional Owners Assoc et al","https://trellis.law/case/8097/2020cv030014/301-east-hyman-avenue-llc-v-prospector-fractional-owners-assoc-et-al","On January 28, 2020 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","20 Files","Jan 28, 2020","Status","Consolidation","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jun 11, 2023","Practice Area","Civil","Matter Type","Declaratory Action","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","County","Pitkin County, CO"
"Springfield, Chloe et al v. Estate Of Jillian White","https://trellis.law/case/8097/2020cv030103/springfield-chloe-et-al-v-estate-jillian-white","On November 3, 2020 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Anne K. Norrdin presiding.","25 Files","Nov 03, 2020","Status","Dismissal","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jun 10, 2023","Practice Area","Torts","Matter Type","Automobile","Hon. Anne K. Norrdin","https://trellis.law/judge/anne.k.norrdin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Anne K. Norrdin","County","Pitkin County, CO"
"Full Circle Aspen LLC v. Bellino, Rita Mary et al","https://trellis.law/case/8097/2020cv030074/full-circle-aspen-llc-v-bellino-rita-mary-et-al","On July 27, 2020 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","38 Files","Jul 27, 2020","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Jun 10, 2023","Practice Area","Commercial","Matter Type","Breach of Contract","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","",""
"Independence Pass LLC v. Shaw Builders LLC et al","https://trellis.law/case/8097/2019cv030122/independence-pass-llc-v-shaw-builders-llc-et-al","On October 25, 2019 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","27 Files","Oct 25, 2019","Status","Dismissal","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jul 03, 2023","Practice Area","Civil","Matter Type","Declaratory Action","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","County","Pitkin County, CO"
"Wells Fargo Bank N A v. Murray, Scott A","https://trellis.law/case/8097/2019cv030111/wells-fargo-bank-n-a-v-murray-scott-a","On September 26, 2019 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge John F. Neiley presiding.","31 Files","Sep 26, 2019","Status","Dismissal","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jul 03, 2023","Practice Area","Creditor","Matter Type","Consumer Debt","Hon. John F. Neiley","https://trellis.law/judge/john.f.neiley?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for John F. Neiley","County","Pitkin County, CO"
"Wells Fargo Bank N A v. Fagan, Charles D","https://trellis.law/case/8097/2019cv030040/wells-fargo-bank-n-a-v-fagan-charles-d","On April 19, 2019 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge John F. Neiley presiding.","11 Files","Apr 19, 2019","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Jul 03, 2023","Practice Area","Probate","Matter Type","Trusts","Hon. John F. Neiley","https://trellis.law/judge/john.f.neiley?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for John F. Neiley","",""
"Bovino, David A et al v. Pillsbury Winthrop Shaw Pittman Llp","https://trellis.law/case/8097/2019cv030024/bovino-david-a-et-al-v-pillsbury-winthrop-shaw-pittman-llp","On March 18, 2019 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","36 Files","Mar 18, 2019","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Jul 03, 2023","Practice Area","Civil","Matter Type","Declaratory Action","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","",""
"American Lake LLC et al v. Elk Mountain Lodge LLC et al","https://trellis.law/case/8097/2019cv030101/american-lake-llc-et-al-v-elk-mountain-lodge-llc-et-al","On September 5, 2019 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","34 Files","Sep 05, 2019","Status","Default Judgment","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","Jul 03, 2023","Practice Area","Property","Matter Type","Quiet Title","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","County","Pitkin County, CO"
"White Horse Springs Water And Sanitation et al v. Water Quality Control Division et al","https://trellis.law/case/8097/2019cv030106/white-horse-springs-water-sanitation-et-al-v-water-quality-control-division-et-al","On September 20, 2019 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","21 Files","Sep 20, 2019","Status","Dismissal","Judge","Court","Pitkin County","County","Pitkin County, CO","Case #","Practice Area","Civil","Matter Type","Injunctive Action","Case Last Refreshed","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","Jul 03, 2023",""
