"h2","h2 href","d-flex","d-files","cardText 2","cardText 3","cardText 4","cardText 5","cardText 6","cardText 7","cardText 8","cardText 9","cardText 10","cardText 11","cardText 12","cardText 13","cardText 14","cardText 15","judge-link","judge-link href","trellis-loading src","judge-hover-footer","judge-follow-link","cardText 16","cardText 17"
"Bridger, Robert v. Platt, Craig et al","https://trellis.law/case/8097/2025cv030150/bridger-robert-v-platt-craig-et-al","On December 4, 2025 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Alexander Haynes presiding.","2 Files","Dec 04, 2025","Judge","Hon. Alexander Haynes","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Dec 09, 2025","Practice Area","Civil","Matter Type","Declaratory Action","","","","","","",""
"Morgan Stanley Private Bank Na v. Venetos, Jon P et al","https://trellis.law/case/8097/2025cv030147/morgan-stanley-private-bank-na-v-venetos-jon-p-et-al","On November 26, 2025 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Laura C Makar presiding.","1 File","Nov 26, 2025","Status","Foreign,Sister-State Judgment","Judge","Hon. Laura C Makar","Court","Pitkin County","Case #","Case Last Refreshed","Nov 27, 2025","Practice Area","Creditor","Matter Type","Judgment Enforcement","","","","","","County","Pitkin County, CO"
"Aronson, Laurie v. The Aspen Mountain Residences","https://trellis.law/case/8097/2024cv030055/aronson-laurie-v-aspen-mountain-residences","On June 24, 2024 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Elise Victoria Myer presiding.","5 Files","Jun 24, 2024","Status","Other","Judge","Hon. Elise Victoria Myer","Court","Pitkin County","Case #","Case Last Refreshed","Jun 27, 2024","Practice Area","Civil","Matter Type","Injunctive Action","","","","","","County","Pitkin County, CO"
"Pinnacol Assurance v. Molina Construction LLC","https://trellis.law/case/8097/2024cv030023/pinnacol-assurance-v-molina-construction-llc","On March 13, 2024 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Elise Victoria Myer presiding.","3 Files","Mar 13, 2024","Judge","Hon. Elise Victoria Myer","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Mar 15, 2024","","","","","","","","","","",""
"Espinoza, Jesse v. Twohig, Paul et al","https://trellis.law/case/8097/2024cv030092/espinoza-jesse-v-twohig-paul-et-al","On October 28, 2024 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Laura C Makar presiding.","4 Files","Oct 28, 2024","Judge","Hon. Laura C Makar","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Oct 29, 2024","Practice Area","Torts","Matter Type","Automobile","","","","","","",""
"Wells Fargo Bank Na v. Miller, Charles M","https://trellis.law/case/8097/2024cv030010/wells-fargo-bank-na-v-miller-charles-m","On January 31, 2024 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","5 Files","Jan 31, 2024","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Feb 01, 2024","Practice Area","Creditor","Matter Type","Consumer Debt","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","",""
"Carpenter, Hillary Brigid v. Sands, Jason Aaron","https://trellis.law/case/8097/2024cv030103/carpenter-hillary-brigid-v-sands-jason-aaron","On November 14, 2024 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Elise Victoria Myer presiding.","3 Files","Nov 14, 2024","Judge","Hon. Elise Victoria Myer","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Nov 16, 2024","","","","","","","","","","",""
"Borderick, Mark v. Everett, Edward","https://trellis.law/case/8097/2024cv030088/borderick-mark-v-everett-edward","On October 2, 2024 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","4 Files","Oct 02, 2024","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Oct 03, 2024","Practice Area","Torts","Matter Type","Personal Injury","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","",""
"928 S Mill LLC v. Cadwell, Ira Ronald","https://trellis.law/case/8097/2023cv030060/928-s-mill-llc-v-cadwell-ira-ronald","On June 26, 2023 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","2 Files","Jun 26, 2023","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Jun 27, 2023","Practice Area","Torts","Matter Type","General Negligence","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","",""
"Solondz, Tami v. Volvo Car Usa LLC","https://trellis.law/case/8097/2023cv030121/solondz-tami-v-volvo-car-usa-llc","On November 18, 2023 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Denise K. Lynch presiding.","4 Files","Nov 18, 2023","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Nov 21, 2023","Practice Area","Commercial","Matter Type","Breach of Contract","Hon. Denise K. Lynch","https://trellis.law/judge/denise.k.lynch?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Denise K. Lynch","",""
