"uni-pull-quote__text","author-byline__no-image","author-byline__info-name","author-byline__info-title"
"While testing Gemini 3.5 Live Translate, we’ve valued its  ability to auto-detect multiple languages and translate speech accurately with low latency.","P","Philipp Kandal","Chief Product Officer at Grab"
"CJ ENM is excited to partner with Google DeepMind on 3.5 Live Translate. Early tests show promising quality for a more authentic experience for global & Korean viewers.","B","Bella Baek","Chief AI Officer at CJ ENM"
"Gemini 3.5 Live Translate makes multilingual voice effortless. I built a demo on LiveKit Agents where everyone speaks their own language and understands each other live.","J","Jesse Hall","Staff Developer Advocate at LiveKit"
"During our time with the 3.5 Live Translate model, we tested across several languages, and our team was blown away by the speed, accuracy, and liveliness of the model.","N","Nash Ramdial","Director at Vision Agents"
"Gemini 3.5 Live Translate paired with Fishjam’s MoQ protocol sets a new frontier for real-time multimedia streaming, allowing speech-to-speech translation into over 70 languages.","M","Maciej Rys","VP of Engineering at Software Mansion"
"We tested the Gemini 3.5 Live Translate model at Agora and in our opinion it provided SOTA results, with low latency and high accuracy that set a new bar for real-time translation.","M","Mason Adams","Developer Evangelist at Agora"
