"footer-main-links__group-title","button href","button__label","button href 2","button__label 2","button href 3","button__label 3","button href 4","button__label 4","button href 5","footer-main-links__svg--light src","footer-main-links__svg--dark src","button__label 5","button href 6","button__label 6","button href 7","button__label 7","button href 8","button__label 8"
"Models","https://deepmind.google/models/gemini/","Gemini","https://deepmind.google/models/gemini-omni/","Gemini Omni","https://deepmind.google/models/gemini-image/","Nano Banana","https://deepmind.google/models/gemini-audio/","Gemini Audio","https://deepmind.google/models/gemma/","https://storage.googleapis.com/gdm-deepmind-com-prod-public/media/images/footer_gemma__light_j46lu5D_ChuL4ZZ.max-24x24.svg","https://storage.googleapis.com/gdm-deepmind-com-prod-public/media/images/footer_gemma__dark_NkmSuN7_L3lpSMo.max-24x24.svg","Gemma","https://deepmind.google/models/genie/","Genie","https://deepmind.google/models/lyria/","Lyria","https://deepmind.google/models/veo/","Veo"
"Research","https://deepmind.google/models/gemini-robotics/","Gemini Robotics","https://deepmind.google/research/projects/","Breakthroughs","https://deepmind.google/research/evals/","Evals","https://deepmind.google/research/publications/","Publications","https://deepmind.google/responsibility-and-safety/","","","Responsibility","","","","","",""
"Science","https://deepmind.google/science/alphafold/","AlphaFold","https://deepmind.google/blog/alphagenome-ai-for-better-understanding-the-genome/","AlphaGenome","https://deepmind.google/science/weathernext/","WeatherNext","https://deepmind.google/blog/alphaearth-foundations-helps-map-our-planet-in-unprecedented-detail/","AlphaEarth","https://deepmind.google/blog/alphaevolve-a-gemini-powered-coding-agent-for-designing-advanced-algorithms/","","","AlphaEvolve","","","","","",""
"Products","https://gemini.google.com/?utm_source=deepmind.google&utm_medium=referral&utm_campaign=gdm&utm_content=","Gemini app","https://aistudio.google.com/?utm_source=deepmind.google&utm_medium=referral&utm_campaign=gdm&utm_content=","Google AI Studio","https://antigravity.google/?utm_source=deepmind.google&utm_medium=referral&utm_campaign=gdm&utm_content=","Google Antigravity","","","","","","","","","","","",""
"Learn more","https://deepmind.google/about/","About","https://deepmind.google/blog/","News","https://deepmind.google/careers/","Careers","https://deepmind.google/national-partnerships-for-ai/","National Partnerships for AI","https://deepmind.google/the-podcast/","","","The Podcast","","","","","",""
